topic,tspin_score,intra_neg_ratio,inter_neg_ratio,intra_flow,inter_flow,nnif_sum
0,0.5,0.0,1.0,0.0,0.1171772377915881,0.1171772377915881
1,0.5,0.0,1.0,0.0,0.00448193409305133,0.00448193409305133
2,0.5,0.0,1.0,0.0,0.004429864844576219,0.004429864844576219
3,0.5,0.0,1.0,0.0,0.04939586603485436,0.04939586603485436
4,0.5,0.0,1.0,0.0,0.0023440447459080168,0.0023440447459080168
5,0.5,0.0,1.0,0.0,0.008454452074618467,0.008454452074618467
6,0.5,0.0,1.0,0.0,0.06038130338127452,0.06038130338127452
7,0.5,0.0,1.0,0.0,0.006721626977811178,0.006721626977811178
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
