src,total_negative_outflow
did:plc:t5pur7eruxfgxy7ynpfrmg2w,1516.3127747574608
did:plc:pboxaqj7pofc32h3n27kbupw,1389.5177238291756
did:plc:z7c5252xrdxixbu4guyrhgeb,945.0116210017156
did:plc:l67kgq6bwzfb52ivtr2ud5pk,942.9473971458498
did:plc:cjy3o7mvkinvjiz6nqgckrxh,726.7150202657774
did:plc:mhbq33huxjksok27n2cijuxs,483.1543060328716
did:plc:tu2p7ggf43h4x6cmtvxcnklg,467.5951257756866
did:plc:pkypwfeznavoxxfhabonvy6v,464.44293287929474
did:plc:5ttg43yfww3kidboxtclpxct,452.6508491909239
did:plc:hsf6h23omw3jphz27kfeqqy2,386.7989455209209
did:plc:z72i7hdynmk6r22z27h6tvur,376.1737812853137
did:plc:63khq33ath6tsairvdd4ndtg,358.8203358937257
did:plc:bjxzxrq6svhc42gpe7u45c7s,352.9386123583157
did:plc:cge7brzvw5hrhjnuhy3yapdu,327.37869147839075
did:plc:pxni73mx7cviwsgkr6wekn5l,325.351884388667
did:plc:cscubwymokwyyxht4xsgt2dp,325.27266624963795
did:plc:ibbg3ztlfdbcq4hzzf76tgk3,303.7919777698752
did:plc:kqsrcl2lwbbxhw67uzeh5rvu,290.5642346750422
did:plc:npr46fs6ptcduahvj3v4xmp5,283.25783301045556
did:plc:gspmjvjqd775rn452lojyzbf,279.6221535476069
did:plc:5tpwza2c5ejbk6dha6lh2z65,253.63723303582577
did:plc:zmu3d5ksnn6snjizo7uhodrp,251.20724532541894
did:plc:lisufijnrz42yoqth2stevje,244.09857782388565
did:plc:quhlwbqi45fo4iluypxwpzlq,241.98770597128868
did:plc:23ect4wm5cecl3cyqh4bfpvm,239.381121422091
did:plc:s5t7eqynlfbsmahawvq3npnu,234.37398625216335
did:plc:w3tnzlqdztocu7pcadxbcxrt,227.0565752420963
did:plc:evyrpstflryhha6tsi2amhyb,225.2782372177778
did:plc:g3e4bkxkfct3m5fuho4rqq3p,214.34730027905087
did:plc:aiku7bnm2gvrydrzt4oqt2zm,203.56076540518475
did:plc:noxhc7uv6rff7yqtdc2benrm,201.5445306518447
did:plc:2vkb7tyfle42heidphwvdfx5,197.75477087130602
did:plc:nanlh5qo5byzizyr2whc3fz7,197.36552837245637
did:plc:neguvjck5supodj7t2rk5kly,190.20258898919434
did:plc:iig37juynrjavzwuyzzrcfjx,188.732217565562
did:plc:z6ndgq3quse35zy4fufddoxi,176.5338084458878
did:plc:dc3f6dswixmohpjbf2g2duhc,173.75314647689225
did:plc:c67ohsu7sikpwok4httfypdz,173.06721684065388
did:plc:jgovmziknvrlhcqr2mxea4bj,173.00162724692547
did:plc:hqv2k5usgdwzgvkgbh3nters,170.42905660232967
did:plc:ib4voi2txiotd6ckte4wwtng,168.28780568882422
did:plc:5ua5txm7mclqglhs2f3yysdp,166.39535048135014
did:plc:2glsctd3tl6sj2o2jun4yae2,165.65870442165695
did:plc:gntwx32hbw2c7zxbtuivi66r,161.05145380133075
did:plc:qyjfyexwvfn4k7xfjy6ixyew,160.66913738889872
did:plc:qwqccbclvz3v2z5r6cpnogpo,160.08274696051348
did:plc:yjkd5xzyzuhn3efu4ytn5bsi,159.40603419558778
did:plc:4tr5dqti7nmu6g2czpthntak,152.92759396620457
did:plc:s2dyveiilndircuiob4injub,150.29450046707913
did:plc:vvi5wjvena5yoji45g6r6wva,148.92627453121852
