src_topic,intra,inter,total_flow,topic_name
0,0.0,0.0,0.0,T0: say
1,0.0,0.0,0.0,T1: peace
2,0.0,0.0,0.0,T2: america first
3,0.0,0.0,0.0,T3: trump america
4,0.0,0.0,0.0,Topic 4
5,0.0,0.0,0.0,Topic 5
6,0.0,0.0,0.0,Topic 6
7,0.0,0.0,0.0,Topic 7
8,0.0,0.0,0.0,Topic 8
9,0.0,0.0,0.0,Topic 9
10,0.0,0.0,0.0,Topic 10
11,0.0,0.0,0.0,Topic 11
12,0.0,0.0,0.0,Topic 12
13,0.0,0.0,0.0,Topic 13
14,0.0,0.0,0.0,Topic 14
15,0.0,0.0,0.0,Topic 15
16,0.0,0.0,0.0,Topic 16
17,0.0,0.0,0.0,Topic 17
18,0.0,0.0,0.0,Topic 18
19,0.0,0.0,0.0,Topic 19
